
Sync-Point 0, TimeBin=0, Time: 0.01, Redshift: 99, Systemstep: 0, Dloga: 0, Nsync-grv:      10648, Nsync-hyd:          0
Sync-Point 35, TimeBin=19, Time: 0.0117047, Redshift: 84.4359, Systemstep: 5.25205e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 36, TimeBin=19, Time: 0.0117574, Redshift: 84.0526, Systemstep: 5.27572e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 37, TimeBin=19, Time: 0.0118104, Redshift: 83.6709, Systemstep: 5.2995e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 38, TimeBin=19, Time: 0.0118637, Redshift: 83.291, Systemstep: 5.32339e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 39, TimeBin=19, Time: 0.0119171, Redshift: 82.9128, Systemstep: 5.34738e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 40, TimeBin=19, Time: 0.0119709, Redshift: 82.5363, Systemstep: 5.37149e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 41, TimeBin=19, Time: 0.0120248, Redshift: 82.1614, Systemstep: 5.3957e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 42, TimeBin=19, Time: 0.012079, Redshift: 81.7883, Systemstep: 5.42002e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 43, TimeBin=19, Time: 0.0121335, Redshift: 81.4168, Systemstep: 5.44445e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 44, TimeBin=19, Time: 0.0121881, Redshift: 81.047, Systemstep: 5.46899e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 45, TimeBin=19, Time: 0.0122431, Redshift: 80.6788, Systemstep: 5.49364e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 46, TimeBin=19, Time: 0.0122983, Redshift: 80.3123, Systemstep: 5.5184e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 47, TimeBin=19, Time: 0.0123537, Redshift: 79.9474, Systemstep: 5.54327e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 48, TimeBin=19, Time: 0.0124094, Redshift: 79.5842, Systemstep: 5.56826e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 49, TimeBin=19, Time: 0.0124653, Redshift: 79.2226, Systemstep: 5.59336e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 50, TimeBin=19, Time: 0.0125215, Redshift: 78.8627, Systemstep: 5.61857e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 51, TimeBin=19, Time: 0.0125779, Redshift: 78.5043, Systemstep: 5.64389e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 52, TimeBin=19, Time: 0.0126346, Redshift: 78.1476, Systemstep: 5.66933e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 53, TimeBin=19, Time: 0.0126916, Redshift: 77.7924, Systemstep: 5.69489e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 54, TimeBin=19, Time: 0.0127488, Redshift: 77.4389, Systemstep: 5.72056e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 55, TimeBin=19, Time: 0.0128062, Redshift: 77.0869, Systemstep: 5.74634e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 56, TimeBin=19, Time: 0.012864, Redshift: 76.7365, Systemstep: 5.77224e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 57, TimeBin=19, Time: 0.012922, Redshift: 76.3877, Systemstep: 5.79826e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 58, TimeBin=19, Time: 0.0129802, Redshift: 76.0404, Systemstep: 5.82439e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 59, TimeBin=19, Time: 0.0130387, Redshift: 75.6947, Systemstep: 5.85065e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 60, TimeBin=19, Time: 0.0130975, Redshift: 75.3506, Systemstep: 5.87702e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 61, TimeBin=19, Time: 0.0131565, Redshift: 75.008, Systemstep: 5.90351e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 62, TimeBin=19, Time: 0.0132158, Redshift: 74.667, Systemstep: 5.93012e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 63, TimeBin=19, Time: 0.0132754, Redshift: 74.3274, Systemstep: 5.95685e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 64, TimeBin=19, Time: 0.0133352, Redshift: 73.9894, Systemstep: 5.9837e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 65, TimeBin=19, Time: 0.0133953, Redshift: 73.6529, Systemstep: 6.01067e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 66, TimeBin=19, Time: 0.0134557, Redshift: 73.318, Systemstep: 6.03776e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 67, TimeBin=19, Time: 0.0135163, Redshift: 72.9845, Systemstep: 6.06497e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 68, TimeBin=19, Time: 0.0135773, Redshift: 72.6525, Systemstep: 6.09231e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 69, TimeBin=19, Time: 0.0136385, Redshift: 72.322, Systemstep: 6.11977e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 70, TimeBin=19, Time: 0.0136999, Redshift: 71.993, Systemstep: 6.14735e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 71, TimeBin=19, Time: 0.0137617, Redshift: 71.6655, Systemstep: 6.17506e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 72, TimeBin=19, Time: 0.0138237, Redshift: 71.3394, Systemstep: 6.2029e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 73, TimeBin=19, Time: 0.013886, Redshift: 71.0148, Systemstep: 6.23086e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 74, TimeBin=19, Time: 0.0139486, Redshift: 70.6917, Systemstep: 6.25894e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 75, TimeBin=19, Time: 0.0140115, Redshift: 70.37, Systemstep: 6.28715e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 76, TimeBin=19, Time: 0.0140746, Redshift: 70.0497, Systemstep: 6.31549e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 77, TimeBin=19, Time: 0.0141381, Redshift: 69.7309, Systemstep: 6.34396e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 78, TimeBin=19, Time: 0.0142018, Redshift: 69.4136, Systemstep: 6.37255e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 79, TimeBin=19, Time: 0.0142658, Redshift: 69.0976, Systemstep: 6.40127e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 80, TimeBin=19, Time: 0.0143301, Redshift: 68.7831, Systemstep: 6.43013e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 81, TimeBin=19, Time: 0.0143947, Redshift: 68.4699, Systemstep: 6.45911e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 82, TimeBin=19, Time: 0.0144596, Redshift: 68.1582, Systemstep: 6.48822e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 83, TimeBin=19, Time: 0.0145248, Redshift: 67.8479, Systemstep: 6.51747e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 84, TimeBin=19, Time: 0.0145902, Redshift: 67.539, Systemstep: 6.54684e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 85, TimeBin=19, Time: 0.014656, Redshift: 67.2314, Systemstep: 6.57635e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

Sync-Point 86, TimeBin=19, Time: 0.0147221, Redshift: 66.9253, Systemstep: 6.606e-05, Dloga: 0.00449724, Nsync-grv:      10648, Nsync-hyd:          0

