
MEMORY:  Largest Allocation = 600.246 Mbyte  |  Largest Allocation Without Generic = 32.0781 Mbyte

-------------------------- Allocated Memory Blocks---- ( Step        0 )------------------
Task    Nr F                  Variable      MBytes   Cumulative  Function|File|Linenumber
   0    21 0                        Send_offset_nodes      0.0002       0.0304  allocate_memory()|src/allocate.c|60
   0    22 0                         Recv_count_nodes      0.0002       0.0306  allocate_memory()|src/allocate.c|61
   0    23 0                        Recv_offset_nodes      0.0002       0.0308  allocate_memory()|src/allocate.c|62
   0    24 0                          Mesh_Send_count      0.0002       0.0309  allocate_memory()|src/allocate.c|64
   0    25 0                         Mesh_Send_offset      0.0002       0.0311  allocate_memory()|src/allocate.c|65
   0    26 0                          Mesh_Recv_count      0.0002       0.0313  allocate_memory()|src/allocate.c|66
   0    27 0                         Mesh_Recv_offset      0.0002       0.0315  allocate_memory()|src/allocate.c|67
   0    28 0                         Force_Send_count      0.0002       0.0317  allocate_memory()|src/allocate.c|69
   0    29 0                        Force_Send_offset      0.0002       0.0319  allocate_memory()|src/allocate.c|70
   0    30 0                         Force_Recv_count      0.0002       0.0320  allocate_memory()|src/allocate.c|71
   0    31 0                        Force_Recv_offset      0.0002       0.0322  allocate_memory()|src/allocate.c|72
   0    32 1                                        P      0.0423       0.0745  allocate_memory()|src/allocate.c|75
   0    33 1                                     SphP      0.0001       0.0746  allocate_memory()|src/allocate.c|78
   0    34 1                  NextActiveParticleHydro      0.0001       0.0746  timebins_allocate()|src/timestep.c|1492
   0    35 1                       NextInTimeBinHydro      0.0001       0.0747  timebins_allocate()|src/timestep.c|1495
   0    36 1                       PrevInTimeBinHydro      0.0001       0.0748  timebins_allocate()|src/timestep.c|1498
   0    37 1                NextActiveParticleGravity      0.0011       0.0759  timebins_allocate()|src/timestep.c|1492
   0    38 1                     NextInTimeBinGravity      0.0011       0.0770  timebins_allocate()|src/timestep.c|1495
   0    39 1                     PrevInTimeBinGravity      0.0011       0.0781  timebins_allocate()|src/timestep.c|1498
   0    40 1                          DomainStartList      0.0015       0.0795  domain_allocate()|src/domain.c|335
   0    41 1                            DomainEndList      0.0015       0.0810  domain_allocate()|src/domain.c|336
   0    42 1                   DomainFirstLocTopleave      0.0002       0.0812  domain_allocate()|src/domain.c|337
   0    43 1                     DomainNLocalTopleave      0.0002       0.0814  domain_allocate()|src/domain.c|338
   0    44 1                                 TopNodes      0.2339       0.3153  domain_allocate()|src/domain.c|339
   0    45 1                               DomainTask      0.0128       0.3281  domain_allocate()|src/domain.c|340
   0    46 1               DomainListOfLocalTopleaves      0.0128       0.3409  domain_Decomposition()|src/domain.c|131
   0    47 0                              save_masses      0.0001       0.3410  setup_smoothinglengths()|src/init.c|2044
